Gene,meanTumor,meanControl,Pvalue,Log2FC
ENSG00000270761,0.0,0.0,1.0,0.0
ENSG00000198087,2.8501295784172482,3.5359553030350988,0.22922366075148917,-0.6858257246178505
ENSG00000199762,0.0,0.0,1.0,0.0
ENSG00000216813,0.03725960272006854,0.051358868498872425,0.6307566412457479,-0.014099265778803882
ENSG00000164393,0.0,0.0,1.0,0.0
ENSG00000153294,0.0,0.0,1.0,0.0
ENSG00000252711,0.0,0.0,1.0,0.0
ENSG00000226594,0.0,0.0,1.0,0.0
ENSG00000216616,0.014669448619942559,0.009671489623543316,0.7841602099265805,0.004997958996399243
ENSG00000124818,0.0,0.0,1.0,0.0
ENSG00000200340,0.0,0.0,1.0,0.0
ENSG00000244694,0.0,0.0,1.0,0.0
ENSG00000226068,0.0,0.023616870982002464,0.364160164192479,-0.023616870982002464
ENSG00000216835,0.06575285060300483,0.0,0.17780780835622126,0.06575285060300483
ENSG00000278736,0.0,0.0,1.0,0.0
ENSG00000221175,0.0,0.0,1.0,0.0
ENSG00000271162,0.0,0.0,1.0,0.0
ENSG00000218337,0.0,0.0,1.0,0.0
ENSG00000274867,0.0,0.0,1.0,0.0
ENSG00000217631,0.0,0.0,1.0,0.0
ENSG00000252457,0.0,0.0,1.0,0.0
ENSG00000277043,0.16915226044415704,0.0460788560728044,0.1189828197197531,0.12307340437135264
ENSG00000146085,2.3661350185416525,2.628013847833322,0.7850976741582852,-0.2618788292916694
ENSG00000031691,5.326893422946454,3.4023390016121757,0.058625400171584734,1.9245544213342782
ENSG00000203972,0.0,0.0,1.0,0.0
ENSG00000197261,0.0,0.0,1.0,0.0
ENSG00000216998,0.0,0.0,1.0,0.0
ENSG00000112077,0.0,0.0,1.0,0.0
ENSG00000124490,0.0,0.11629498105788855,0.541469739275585,-0.11629498105788855
ENSG00000279127,0.0,0.0,1.0,0.0
ENSG00000096006,0.0,0.0,1.0,0.0
ENSG00000170950,0.059163739304086,0.0,0.03169257712173395,0.059163739304086
ENSG00000235122,0.0,0.007436327382350448,0.5414697392755848,-0.007436327382350448
ENSG00000226707,0.0,0.0,1.0,0.0
